2022-06-12 00:52:42,403 [http-nio-0.0.0.0-9090-exec-9] INFO  o.t.s.c.plugin.TbWebSocketHandler - [e92ea4a0-e4e3-11ec-ad01-81f2bd71b544][1d17458f-6100-4348-a8ae-3b04be579465][f10c9f58-a394-8b95-3b40-2e80fbb77cf0] Session is opened
2022-06-12 00:52:42,422 [ws-entity-sub-callback-27-thread-1] INFO  o.t.s.c.plugin.TbWebSocketHandler - [f10c9f58-a394-8b95-3b40-2e80fbb77cf0] Session is closed
2022-06-12 00:52:42,871 [sql-log-1-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - Queue-2 [TS] queueSize [0] totalAdded [4] totalSaved [4] totalFailed [0]
2022-06-12 00:52:42,903 [TB-Scheduling-2] INFO  o.t.s.s.s.DefaultTbEntityDataSubscriptionService - Stats: regularQueryInvocationCnt = [6], regularQueryInvocationTime = [10], dynamicQueryCnt = [1] dynamicQueryInvocationCnt = [0], dynamicQueryInvocationTime = [0], alarmQueryInvocationCnt = [3], alarmQueryInvocationTime = [5]
2022-06-12 00:52:42,916 [sql-log-1-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - Queue-2 [TS Latest] queueSize [0] totalAdded [4] totalSaved [4] totalFailed [0]
2022-06-12 00:52:43,667 [TB-Scheduling-3] INFO  o.t.s.c.t.s.DefaultTransportService - Transport Stats: openConnections [0]
2022-06-12 02:13:29,880 [http-nio-0.0.0.0-9090-exec-5] INFO  o.t.s.c.plugin.TbWebSocketHandler - [e92ea4a0-e4e3-11ec-ad01-81f2bd71b544][d9344aba-3c4a-4d04-a757-0739f6484a15][45498455-1064-cbc1-54ae-146fe7198d52] Session is opened
2022-06-12 02:13:29,897 [ws-entity-sub-callback-27-thread-1] INFO  o.t.s.c.plugin.TbWebSocketHandler - [45498455-1064-cbc1-54ae-146fe7198d52] Session is closed
2022-06-12 02:13:31,897 [DefaultTelemetryWebSocketService-38-22] WARN  o.t.s.c.plugin.TbWebSocketHandler - [1942df9a-1df9-72a5-4144-f3967a82ae74] Closing session due to ping timeout
2022-06-12 02:13:31,907 [DefaultTelemetryWebSocketService-38-22] INFO  o.t.s.c.plugin.TbWebSocketHandler - [1942df9a-1df9-72a5-4144-f3967a82ae74] Session is closed
2022-06-12 02:13:33,091 [http-nio-0.0.0.0-9090-exec-3] INFO  o.t.s.c.plugin.TbWebSocketHandler - [e92ea4a0-e4e3-11ec-ad01-81f2bd71b544][7f7cbd32-5bfd-49ca-b34e-a8d7c497af86][9de116cf-b8f1-e6ea-95fb-6c1ac66b4c5b] Session is opened
2022-06-12 02:13:33,383 [ws-entity-sub-callback-27-thread-1] INFO  o.t.s.c.plugin.TbWebSocketHandler - [9de116cf-b8f1-e6ea-95fb-6c1ac66b4c5b] Session is closed
2022-06-12 02:13:35,248 [http-nio-0.0.0.0-9090-exec-6] INFO  o.t.s.c.plugin.TbWebSocketHandler - [e92ea4a0-e4e3-11ec-ad01-81f2bd71b544][59bd775c-c7d3-4ffa-a733-979bedd87515][0e471955-8cc3-07e3-6bdc-59cbd08c5f68] Session is opened
2022-06-12 02:13:36,409 [http-nio-0.0.0.0-9090-exec-3] INFO  o.t.s.c.plugin.TbWebSocketHandler - [e92ea4a0-e4e3-11ec-ad01-81f2bd71b544][e3bb1652-0289-4d0c-bff1-785afc579a7d][6b3e5733-940e-837d-62c2-0ec009f6c4eb] Session is opened
2022-06-12 02:13:36,418 [ws-entity-sub-callback-27-thread-1] INFO  o.t.s.c.plugin.TbWebSocketHandler - [6b3e5733-940e-837d-62c2-0ec009f6c4eb] Session is closed
2022-06-12 02:13:37,248 [sql-log-1-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - Queue-0 [Events] queueSize [0] totalAdded [1] totalSaved [1] totalFailed [0]
2022-06-12 02:13:37,396 [sql-log-1-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - Queue-2 [TS] queueSize [0] totalAdded [4] totalSaved [4] totalFailed [0]
2022-06-12 02:13:37,430 [TB-Scheduling-4] INFO  o.t.s.s.s.DefaultTbEntityDataSubscriptionService - Stats: regularQueryInvocationCnt = [9], regularQueryInvocationTime = [18], dynamicQueryCnt = [1] dynamicQueryInvocationCnt = [0], dynamicQueryInvocationTime = [0], alarmQueryInvocationCnt = [4], alarmQueryInvocationTime = [5]
2022-06-12 02:13:37,441 [sql-log-1-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - Queue-2 [TS Latest] queueSize [0] totalAdded [4] totalSaved [4] totalFailed [0]
2022-06-12 02:13:39,661 [http-nio-0.0.0.0-9090-exec-6] INFO  o.t.s.c.plugin.TbWebSocketHandler - [e92ea4a0-e4e3-11ec-ad01-81f2bd71b544][4757e5a0-2af4-4657-b156-c82d860145b0][d75695c5-ec2b-c818-db46-297bebe0b400] Session is opened
2022-06-12 02:13:39,684 [ws-entity-sub-callback-27-thread-1] INFO  o.t.s.c.plugin.TbWebSocketHandler - [d75695c5-ec2b-c818-db46-297bebe0b400] Session is closed
2022-06-12 02:13:43,041 [http-nio-0.0.0.0-9090-exec-3] INFO  o.t.s.c.plugin.TbWebSocketHandler - [e92ea4a0-e4e3-11ec-ad01-81f2bd71b544][054d5235-38ce-4eb5-9118-d72121205c23][9bb5e814-0fda-523d-fc0c-2a3a41b40a5d] Session is opened
2022-06-12 02:13:43,073 [ws-entity-sub-callback-27-thread-1] INFO  o.t.s.c.plugin.TbWebSocketHandler - [9bb5e814-0fda-523d-fc0c-2a3a41b40a5d] Session is closed
